اسم المحل بالعربي,الاسم بالإنجليزي (إن وجد),التصنيف,رقم/أرقام الاتصال,الموقع Google Maps URL,رابط Pin,الحي/العنوان المختصر,ساعات العمل لكل يوم (إن توفرت),التقييم الرقمي,عدد المراجعات,روابط التواصل,وسائل الطلب/التوصيل,نطاق السعر,أبرز المزايا,حالة التحقق,تاريخ آخر تحديث,مصدر البيانات
خدير,,مختص/كوفي,,"https://maps.google.com/?q=26.3753102,43.982523","https://www.google.com/maps/search/?api=1&query=26.3753102,43.982523",طريق الطرفية,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
رست كافيه,Rest cafe,مختص/كوفي,,"https://maps.google.com/?q=26.3620002,43.9504049","https://www.google.com/maps/search/?api=1&query=26.3620002,43.9504049",طريق أبو بكر الصديق,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
نسترو,,مختص/كوفي,,"https://maps.google.com/?q=26.3630165,43.9401753","https://www.google.com/maps/search/?api=1&query=26.3630165,43.9401753",طريق الملك عبد العزيز,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
ليون كافيه,,مختص/كوفي,,"https://maps.google.com/?q=26.3542632,43.9540151","https://www.google.com/maps/search/?api=1&query=26.3542632,43.9540151",طريق الملك عبد العزيز,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
كافيه ناي نسائي,,مختص/كوفي,,"https://maps.google.com/?q=26.3639518,43.9492486","https://www.google.com/maps/search/?api=1&query=26.3639518,43.9492486",طريق أبو بكر الصديق,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
فن. جن. كيف,,مختص/كوفي,,"https://maps.google.com/?q=26.3058033,43.8685174","https://www.google.com/maps/search/?api=1&query=26.3058033,43.8685174",,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
كوب القهوة,,مختص/كوفي,,"https://maps.google.com/?q=26.3188473,44.0378809","https://www.google.com/maps/search/?api=1&query=26.3188473,44.0378809",,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
كوب القهوة,,مختص/كوفي,,"https://maps.google.com/?q=26.3180939,44.0372088","https://www.google.com/maps/search/?api=1&query=26.3180939,44.0372088",,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
قهوة باش المختصة,,مختص/كوفي,,"https://maps.google.com/?q=26.4083543,43.9279608","https://www.google.com/maps/search/?api=1&query=26.4083543,43.9279608",,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
بوردقا,BORDGA,مختص/كوفي,,"https://maps.google.com/?q=26.3145371,44.0380191","https://www.google.com/maps/search/?api=1&query=26.3145371,44.0380191",طريق عمر بن عبد العزيز,12:00-02:00,Unverified,Unverified,https://www.bordga.sa/,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
Cafe Van Houtte كافيه فان هوت,,سلاسل,+966535644465,"https://maps.google.com/?q=26.4002258,43.9174042","https://www.google.com/maps/search/?api=1&query=26.4002258,43.9174042",شارع البخاري,,Unverified,Unverified,https://vanhouttebur.business.site/,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
EIGHTY + ثمانين,,مختص/كوفي,+966505510580,"https://maps.google.com/?q=26.4065469,43.9282725","https://www.google.com/maps/search/?api=1&query=26.4065469,43.9282725",طريق عثمان بن عفان,,Unverified,Unverified,https://www.80plus.sa/,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
هاف مليون,Half Million,سلاسل,,"https://maps.google.com/?q=26.421905,43.9097288","https://www.google.com/maps/search/?api=1&query=26.421905,43.9097288",,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
جيست كافيه,,مختص/كوفي,,"https://maps.google.com/?q=26.2915179,43.866817","https://www.google.com/maps/search/?api=1&query=26.2915179,43.866817",,,Unverified,Unverified,,Unverified,Unverified,Unverified,Verified,2026-03-01,https://overpass-api.de/ + OpenStreetMap
